IDENTIFIER,DIRX,DIRY,DIRZ,SURFACEANGLE,LOCX,LOCY,LOCZ,2DLOCX,2DLOCY,2DLOCZ,WAVELENGTH,RGBCOLOR,DISTANCE,CASUALTYINTENSITY,TRACESOURCEINTENSITY,INTENSITYFRACTION,Pol1DirX,Pol1DirY,Pol1DirZ,Pol1Len,Pol2DirX,Pol2DirY,Pol2DirZ,Pol2Len
spiral_205_t_t,0.999069960441743,0.0162872573237961,-0.0399241705211583,0.0431319778420782,10,-0.00631853948043315,0.015488331930074,0.034511668069926,0.0436814605195669,0,1.281E-06,#5A5A5A,0,0.920631375330711,1,0.920631375330711,0,-0.628039266419773,-0.256211638416031,0.678290294656288,0.0292620549937886,-0.256105713129916,0.627779616860531,0.678641032878058
spiral_204_t_t,0.999077003041588,0.0210929825913591,-0.037419621575306,0.0429683367283567,10,-0.00847890627757306,0.0150418492455991,0.0349581507544009,0.0415210937224269,0,1.337E-06,#535353,0,0.920797720273215,1,0.920797720273215,-6.4766039916811E-19,-0.590935663083606,-0.333103199051629,0.678352931093019,0.0291536793762575,-0.33296649677425,0.590693148898338,0.678700980661384
spiral_203_t_t,0.999047361812822,0.0260452074238575,-0.0350145116357295,0.043652937561322,10,-0.00558192007572185,0.00750419078106614,0.0424958092189339,0.0444180799242782,0,7.2E-07,#FF0000,0,0.918502312592232,1,0.918502312592232,-1.2929882356899E-18,-0.543603682434012,-0.404354366345618,0.677500861356341,0.0295812063286822,-0.404183619109471,0.543374134210819,0.677860528024495
spiral_202_t_t,0.999080793610853,0.0297213616314695,-0.0308902654679399,0.0428800010978011,10,-0.0110636713945034,0.0114987916995163,0.0385012083004837,0.0389363286054966,0,1.216E-06,#626262,0,0.920437129223959,1,0.920437129223959,-6.50431347167387E-19,-0.488732272965646,-0.470238387587116,0.678220742678,0.0290880561079365,-0.470046291257091,0.488532621728147,0.67856742732411
spiral_201_t_t,0.999099687380331,0.0330465702180284,-0.0266033620685385,0.0424369590313513,10,-0.0150119329774782,0.0120850026406255,0.0379149973593745,0.0349880670225218,0,1.542E-06,#393939,0,0.921414282999962,1,0.921414282999962,1.30649690716833E-18,-0.425526392755684,-0.528586867389035,0.678584399546452,0.0288028135727627,-0.52837509620829,0.425355911360493,0.678923777527451
spiral_200_t_t,0.99905783933237,0.0369847308957408,-0.0227060201071407,0.0434121791497513,10,-0.00720472238934842,0.00442319215191991,0.0455768078480801,0.0427952776106516,0,6.82E-07,#FF0000,0,0.918252388799314,1,0.918252388799314,0,-0.354419697388496,-0.577296993053445,0.677410614092739,0.0294140738839497,-0.577055977846199,0.354271731024828,0.677766367352211
spiral_199_t_t,0.999093920509388,0.0388072570705826,-0.0174738318590844,0.0425726755957475,10,-0.0143278329875931,0.00645142592981736,0.0435485740701826,0.0356721670124069,0,1.202E-06,#646464,0,0.920394960173622,1,0.920394960173622,-1.63820452258897E-18,-0.278452489178518,-0.618409139829081,0.678207676861488,0.0288789387101567,-0.618160135325916,0.278340369354833,0.678549413985278
spiral_198_t_t,0.999108797838863,0.0403828316725331,-0.0122815710350727,0.0422216666216193,10,-0.0173195486896345,0.00526736879800891,0.0447326312019911,0.0326804513103655,0,1.441E-06,#464646,0,0.921107807430957,1,0.921107807430957,-3.28908886117215E-19,-0.197415065119598,-0.649117227884004,0.678473200260695,0.0286519409614677,-0.648859904268185,0.197336805667851,0.678809195546855
spiral_197_t_t,0.999099956747941,0.0418272210080957,-0.00705407747357206,0.0424306091742593,10,-0.0147034006261517,0.00247969921601459,0.0475203007839854,0.0352965993738483,0,1.131E-06,#6C6C6C,0,0.920177721793448,1,0.920177721793448,9.87517125265244E-19,-0.112772556896862,-0.668685973275044,0.678128734418362,0.0287791830945228,-0.668418595486974,0.11272746416571,0.678468231643604
spiral_196_t_t,0.99907299878083,0.0430161075202321,-0.00166060256756325,0.0430614555365183,10,-0.00750773197903598,0.000289830012980608,0.0497101699870194,0.042492268020964,0,6.47E-07,#FF0000,0,0.917989859525218,1,0.917989859525218,4.10848796363504E-20,-0.0261278056663856,-0.676812453362754,0.677316587170173,0.0291722950959271,-0.676534534053479,0.0261170768128197,0.677666658667348
spiral_195_t_t,0.999095953391925,0.0423391118648905,0.00383086444198303,0.042524883483326,10,-0.0116951912382135,-0.00105818686985297,0.051058186869853,0.0383048087617865,0,8.69E-07,#8D8D8D,0,0.919254679409058,1,0.919254679409058,-3.30294729228126E-19,0.0610770674830901,-0.675030096133448,0.677787606008155,0.0288286566765956,-0.674759314985414,-0.0610525670666696,0.6781287787366
spiral_194_t_t,0.999124090982224,0.040842571605225,0.00910687452510873,0.0418577810469205,10,-0.0168559963014325,-0.00375846665084152,0.0537584666508415,0.0331440036985675,0,1.374E-06,#4E4E4E,0,0.920907741298656,1,0.920907741298656,-3.32170081814136E-19,0.1476411196969,-0.662141878255894,0.678402363767696,0.0284019461283053,-0.661883963624751,-0.147583611168625,0.678732623448334
spiral_193_t_t,0.99914372717975,0.0388816391993752,0.0141432164137754,0.0413858683292879,10,-0.0195933972356899,-0.00712710840107496,0.057127108401075,0.0304066027643101,0,1.722E-06,#222222,0,0.921984112124383,1,0.921984112124383,-3.33707365172882E-19,0.232040396460547,-0.637910833781169,0.67880260565569,0.0280981664275787,-0.637667576746303,-0.231951911588018,0.679125271713128
spiral_192_t_t,0.999131308505945,0.0369887242748021,0.0191953806870587,0.0416849443808392,10,-0.014863203895362,-0.00771329270188459,0.0577132927018846,0.035136796104638,0,1.329E-06,#545454,0,0.920774068448303,1,0.920774068448303,-3.33818389268063E-18,0.312463988573504,-0.602105501712832,0.678354464382836,0.0282826299308257,-0.601872945817031,-0.312343303174415,0.678682023557556
spiral_191_t_t,0.999134000249696,0.0341313975331345,0.0237970008083986,0.0416203020597216,10,-0.0133396439268015,-0.00930063051188195,0.0593006305118819,0.0366603560731985,0,1.284E-06,#595959,0,0.92064041375555,1,0.92064041375555,2.00766372322299E-18,0.387942950780066,-0.556416129068607,0.678305714075621,0.0282367266739704,-0.556201924152711,-0.387793603407114,0.678632280405163
spiral_190_t_t,0.999142431633445,0.0305944020721857,0.0278995317425154,0.0414171695115987,10,-0.0126757359787852,-0.0115592093437701,0.0615592093437701,0.0373242640212148,0,1.378E-06,#4E4E4E,0,0.920919674303384,1,0.920919674303384,0,0.457122978399547,-0.501277380805598,0.678410222423125,0.0281031866508727,-0.501086209889608,-0.456948646538891,0.678733559222756
spiral_189_t_t,0.999142552227229,0.0266907831392021,0.0316506307089516,0.0414142568908442,10,-0.0103471634779373,-0.0122699378439869,0.0622699378439869,0.0396528365220628,0,1.27E-06,#5B5B5B,0,0.920598766092291,1,0.920598766092291,6.72713418285895E-19,0.518529333557654,-0.437272613003192,0.678291978311983,0.0280963162369571,-0.43710594634382,-0.518331695861534,0.678615324207984
